번호,식당(ID),식당명,지역명,식당이미지(URL),식당상태
7690,104397,전주콩나루,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/396090_954056068.jpg,운영중
7691,104397,전주콩나루,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/396090_1547602352.jpg,운영중
7692,104397,전주콩나루,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/396090_668249889.jpg,운영중
7693,104397,전주콩나루,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/396090_2024056587.jpg,운영중
7694,104397,전주콩나루,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/396090_1734035648.jpg,운영중
7695,104397,전주콩나루,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/396090_1372593490.jpg,운영중
7696,104397,전주콩나루,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/396090_395111787.jpg,운영중
7697,104397,전주콩나루,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/396090_144588664.jpg,운영중
7698,118786,이래면옥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/351790_1009138746.jpg,운영중
7699,118786,이래면옥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/351790_977247057.jpg,운영중
7700,118786,이래면옥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/351790_1135179251.jpg,운영중
7701,118786,이래면옥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/351790_1203943749.jpg,운영중
7702,118786,이래면옥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/351790_257700210.jpg,운영중
7703,118786,이래면옥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/351790_294334263.jpg,운영중
7704,118786,이래면옥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/351790_1698323091.jpg,운영중
7705,118786,이래면옥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/351790_1993697500.jpg,운영중
7706,118786,이래면옥,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/351790_1564492249.jpg,운영중
7707,218723,전동떡갈비,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/462934_1317405388.jpg,운영중
