관광명소명,도로명주소,지번주소,전화번호,운영여부,운영시작시간,운영종료시간,이용요금,편의시설,홈페이지,위도,경도,데이터기준일자
한옥마을,전북특별자치도 전주시 완산구 기린대로 99,전북특별자치도 전주시 완산구 남노송동 100-1,063-282-1330,운영중,연중무휴,연중무휴,무료,주차장+한옥마을 관광안내소+유모차 및 휠체어 대여+물품보관소+남/녀 구분 화장실,https://hanok.jeonju.go.kr,35.81896,127.1538,2024-01-12
경기전,전북특별자치도 전주시 완산구 태조로 44,전북특별자치도 전주시 완산구 풍남동3가 91-5,063-281-2788,운영중,09:00:00,18:00:00,성인 3000원/청소년+대학생+군인 2000원/어린이 1000원 ,없음,없음,35.8156,127.1496,2024-01-12
덕진공원,전북특별자치도 전주시 덕진구 권삼득로 390-1 전주덕진공원,전북특별자치도 전주시 덕진구 덕진동1가 1316-2,063-281-8661,운영중,연중무휴,연중무휴,무료,주차장+남/녀 화장실 구분+반려동물 동반,없음,35.84912,127.123,2024-01-12
전주동물원,전북특별자치도 전주시 덕진구 소리로 68 전주동물원,전북특별자치도 전주시 덕진구 덕진동1가 73-48,063-281-6759,운영중,09:00:00,하절기(3~10월) 18:00/동절기(11~2월) 17:00,성인 3000원/청소년+군인 2000원/어린이 1000원 ,주차장+유모차 및 휠체어 대여,https://zoo.jeonju.go.kr,35.85596,127.1447,2024-01-12
전주수목원,전북특별자치도 전주시 덕진구 번영로 462-45 전주수목원,전북특별자치도 전주시 덕진구 반월동 848-39,063-714-7200,운영중,09:00:00,18:00:00,무료,주차장,https://www.ex.co.kr/arboretum,35.87114,127.055,2024-01-12
전라감영,전북특별자치도 전주시 완산구 전라감영로 55,전북특별자치도 전주시 완산구 중앙동4가 1-6,063-281-2977,운영중,09:00:00,21:00:00,무료,남/녀 구분 화장실,없음,35.81626,127.1462,2024-01-12
